"anio","depto","producto","sale_kg","ingresa_kg","total_importado"
2019,"ANTIOQUIA","limón mandarino",2637073,3230708,-593635
2019,"ANTIOQUIA","limón tahití",2585756,7894692,-5308936
2019,"ANTIOQUIA","papa capira",47093795,90605850,-43512055
2019,"ANTIOQUIA","papa criolla",10716209,13270538,-2554329
2019,"ANTIOQUIA","papa nevada",4589420,3593150,996270
2019,"ANTIOQUIA","papa r-12",127700,2626800,-2499100
2019,"ANTIOQUIA","papa rubí",1500,0,1500
2019,"ANTIOQUIA","papa única",172250,27100,145150
2019,"ANTIOQUIA","papas negras otras",7111950,4231250,2880700
2019,"ANTIOQUIA","plátano guineo",2681556,5663809,-2982253
2019,"ANTIOQUIA","plátano hartón verde",37949252,56697151,-18747899
2019,"ANTIOQUIA","plátanos otros",776899,1847218,-1070319
2019,"ANTIOQUIA","repollo",16808558,16723213,85345
2019,"ANTIOQUIA","tomate chonto",41938462,37509378,4429084
2019,"ANTIOQUIA","tomate larga vida",77865,182609,-104744
2019,"ANTIOQUIA","tomate riogrande",131450,0,131450
2019,"ANTIOQUIA","tomates otros",85605,821238,-735633
2019,"ANTIOQUIA","yuca",16355781,15464504,891277
2019,"ANTIOQUIA","zanahoria",34469177,30541910,3927267
2021,"ANTIOQUIA","arroz",1214077.5,57072987,-55858909.5
2021,"ANTIOQUIA","carne de cerdo",3559014,2163888,1395126
2021,"ANTIOQUIA","carne de res",4653800,4414390,239410
2021,"ANTIOQUIA","cebolla cabezona",2882708,32887736,-30005028
2021,"ANTIOQUIA","cebolla junca",6499307,8013082,-1513775
2021,"ANTIOQUIA","cilantro",2860941,2825813,35128
2021,"ANTIOQUIA","fríjol",1696595,5454525,-3757930
2021,"ANTIOQUIA","fríjol verde",9004241,9068329,-64088
2021,"ANTIOQUIA","huevo",3881432.7,4925708.7,-1044276
2021,"ANTIOQUIA","lechuga batavia",14717175,13626453,1090722
2021,"ANTIOQUIA","limón común",1104390,2484690,-1380300
2021,"ANTIOQUIA","limón mandarino",2657726,3236050,-578324
2021,"ANTIOQUIA","limón tahití",2486192,7196542,-4710350
2021,"ANTIOQUIA","papa capira",49432076,89619276,-40187200
2021,"ANTIOQUIA","papa criolla",14680498,15453903,-773405
2021,"ANTIOQUIA","papa nevada",6437990,5510700,927290
2021,"ANTIOQUIA","papa parda pastusa",1500,1550,-50
2021,"ANTIOQUIA","papa r-12",223450,5335850,-5112400
2021,"ANTIOQUIA","papa rubí",7000,0,7000
2021,"ANTIOQUIA","papa superior",7600,0,7600
2021,"ANTIOQUIA","papa única",66600,750,65850
2021,"ANTIOQUIA","papas negras otras",5582400,1506750,4075650
2021,"ANTIOQUIA","plátano guineo",3575713,6095707,-2519994
2021,"ANTIOQUIA","plátano hartón verde",49081080,55084502,-6003422
2021,"ANTIOQUIA","plátanos otros",1414510,3444790,-2030280
2021,"ANTIOQUIA","repollo",15422112,15914477,-492365
2021,"ANTIOQUIA","tomate chonto",38588540,33659549,4928991
2021,"ANTIOQUIA","tomate larga vida",4500,142200,-137700
2021,"ANTIOQUIA","tomate riogrande",39400,0,39400
2021,"ANTIOQUIA","tomates otros",66414,332866,-266452
2021,"ANTIOQUIA","yuca",13997673,14382867,-385194
2021,"ANTIOQUIA","zanahoria",35262623.5,31405576,3857047.5
2022,"ANTIOQUIA","arroz",1193322.5,42881010,-41687687.5
2022,"ANTIOQUIA","carne de cerdo",4046859,2095840,1951019
2022,"ANTIOQUIA","carne de res",4818192,4228052,590140
2022,"ANTIOQUIA","cebolla cabezona",1590379,14457700,-12867321
2022,"ANTIOQUIA","cebolla cabezona blanca",752820,8725980,-7973160
2022,"ANTIOQUIA","cebolla cabezona roja",1101809,3962835,-2861026
2022,"ANTIOQUIA","cebolla junca",5479347,9388350,-3909003
2022,"ANTIOQUIA","cilantro",2669965,2641525,28440
2022,"ANTIOQUIA","fríjol",866600,3101820,-2235220
2022,"ANTIOQUIA","fríjol verde",7634509,7960356,-325847
2022,"ANTIOQUIA","huevo",3269534.16,4936852.5,-1667318.34
2022,"ANTIOQUIA","lechuga batavia",14176144,13779366,396778
2022,"ANTIOQUIA","lechuga crespa",655098,658868,-3770
2022,"ANTIOQUIA","lechugas otras",16829,30609,-13780
2022,"ANTIOQUIA","limón común",1070896,1599415,-528519
2022,"ANTIOQUIA","limón mandarino",2869164,3479749,-610585
2022,"ANTIOQUIA","limón tahití",2968770,6994450,-4025680
2022,"ANTIOQUIA","papa betina",4500,0,4500
2022,"ANTIOQUIA","papa capira",49127506,87631016,-38503510
2022,"ANTIOQUIA","papa criolla",15401386,15866620,-465234
2022,"ANTIOQUIA","papa nevada",6621135,5709335,911800
2022,"ANTIOQUIA","papa parda pastusa",6000,0,6000
2022,"ANTIOQUIA","papa r-12",292650,1554250,-1261600
2022,"ANTIOQUIA","papa rubí",29050,329800,-300750
2022,"ANTIOQUIA","papa superior",179450,1712250,-1532800
2022,"ANTIOQUIA","papa única",40850,0,40850
2022,"ANTIOQUIA","papas negras otras",4057100,295600,3761500
2022,"ANTIOQUIA","plátano guineo",3247896,7124936,-3877040
2022,"ANTIOQUIA","plátano hartón verde",50890521,49157718,1732803
2022,"ANTIOQUIA","plátanos otros",1459992,3735611,-2275619
2022,"ANTIOQUIA","repollo",14883373,14692083,191290
2022,"ANTIOQUIA","tomate chonto",35951752,31400732,4551020
2022,"ANTIOQUIA","tomate larga vida",26750,263750,-237000
2022,"ANTIOQUIA","tomate riogrande",35750,13000,22750
2022,"ANTIOQUIA","tomates otros",97749,292269,-194520
2022,"ANTIOQUIA","yuca",13687000,14438203,-751203
2022,"ANTIOQUIA","zanahoria",30588842,27180177,3408665
2023,"ANTIOQUIA","arroz",748902.5,53860720,-53111817.5
2023,"ANTIOQUIA","carne de cerdo",5089665,2873730,2215935
2023,"ANTIOQUIA","carne de res",6814345,6070130,744215
2023,"ANTIOQUIA","cebolla cabezona blanca",1676180,21876490,-20200310
2023,"ANTIOQUIA","cebolla cabezona roja",1986694,11006778,-9020084
2023,"ANTIOQUIA","cebolla junca",6279737,9042064,-2762327
2023,"ANTIOQUIA","cilantro",3452633,3401207,51426
2023,"ANTIOQUIA","fríjol",1471900,4768150,-3296250
2023,"ANTIOQUIA","fríjol verde",8269967,8405584,-135617
2023,"ANTIOQUIA","huevo",3905841.48,5095252.5,-1189411.02
2023,"ANTIOQUIA","lechuga batavia",14895010,14253936,641074
2023,"ANTIOQUIA","lechuga crespa",1320625,1339406,-18781
2023,"ANTIOQUIA","lechugas otras",76880,111145,-34265
2023,"ANTIOQUIA","limón común",1402231,2765930,-1363699
2023,"ANTIOQUIA","limón mandarino",3484833,4246343,-761510
2023,"ANTIOQUIA","limón tahití",4176955,8162586,-3985631
2023,"ANTIOQUIA","papa betina",33000,0,33000
2023,"ANTIOQUIA","papa capira",63871550,120105150,-56233600
2023,"ANTIOQUIA","papa criolla",13415686,14385606,-969920
2023,"ANTIOQUIA","papa nevada",5487730,4857680,630050
2023,"ANTIOQUIA","papa r-12",1441202,3685202,-2244000
2023,"ANTIOQUIA","papa rubí",360150,0,360150
2023,"ANTIOQUIA","papa superior",21150,84000,-62850
2023,"ANTIOQUIA","papa única",242700,153650,89050
2023,"ANTIOQUIA","papas negras otras",4658850,476400,4182450
2023,"ANTIOQUIA","plátano guineo",4097806,8128151,-4030345
2023,"ANTIOQUIA","plátano hartón verde",47047092,54055327,-7008235
2023,"ANTIOQUIA","plátanos otros",1640067,3535778,-1895711
2023,"ANTIOQUIA","repollo",13837583,13994763,-157180
2023,"ANTIOQUIA","tomate chonto",40054850,34640036,5414814
2023,"ANTIOQUIA","tomate larga vida",90690,530200,-439510
2023,"ANTIOQUIA","tomate riogrande",83825,3450,80375
2023,"ANTIOQUIA","tomates otros",100894,315234,-214340
2023,"ANTIOQUIA","yuca",19628891,17826713,1802178
2023,"ANTIOQUIA","zanahoria",35226015,31027716,4198299
2014,"ANTIOQUIA","papa morasurco",0,18980,-18980
2016,"ANTIOQUIA","papa r-12",0,404000,-404000
2017,"ANTIOQUIA","papa betina",0,17500,-17500
2019,"ANTIOQUIA","papa parda pastusa",0,35000,-35000
