"mes","anio","depto","producto","sale_kg","ingresa_kg","total_importado","fecha"
1,2019,"ANTIOQUIA","Carne de cerdo",0.480016,0.426496,0.05352,2019-01-01
1,2019,"ANTIOQUIA","Carne de res",0.478033,0.442033,0.036,2019-01-01
1,2019,"ANTIOQUIA","Cebolla Cabezona",0.182258,2.625052,-2.442794,2019-01-01
1,2019,"ANTIOQUIA","Cebolla junca",0.415949,0.690892,-0.274943,2019-01-01
1,2019,"ANTIOQUIA","Cilantro",0.224019,0.218554,0.005465,2019-01-01
1,2019,"ANTIOQUIA","Fríjol",0.189875,0.809485,-0.61961,2019-01-01
1,2019,"ANTIOQUIA","Fríjol verde",0.637307,0.605817,0.03149,2019-01-01
1,2019,"ANTIOQUIA","Huevo",0.39122814,0.46391934,-0.0726912,2019-01-01
1,2019,"ANTIOQUIA","Lechuga Batavia",1.206804,1.202977,0.00382700000000002,2019-01-01
1,2019,"ANTIOQUIA","Limón Tahití",0.1738,0.577752,-0.403952,2019-01-01
1,2019,"ANTIOQUIA","Limón común",0.063195,0.29959,-0.236395,2019-01-01
1,2019,"ANTIOQUIA","Limón mandarino",0.241,0.28215,-0.04115,2019-01-01
1,2019,"ANTIOQUIA","Papa R-12",0.01035,0.2014,-0.19105,2019-01-01
1,2019,"ANTIOQUIA","Papa capira",3.64202,7.10762,-3.4656,2019-01-01
1,2019,"ANTIOQUIA","Papa criolla",0.920635,1.06958,-0.148945,2019-01-01
1,2019,"ANTIOQUIA","Papa nevada",0.39857,0.31281,0.08576,2019-01-01
1,2019,"ANTIOQUIA","Papa única",0.0267,0,0.0267,2019-01-01
1,2019,"ANTIOQUIA","Papas negras otras",0.23725,0.04925,0.188,2019-01-01
1,2019,"ANTIOQUIA","Plátano guineo",0.15138,0.365549,-0.214169,2019-01-01
1,2019,"ANTIOQUIA","Plátano hartón verde",2.72281,5.03824,-2.31543,2019-01-01
1,2019,"ANTIOQUIA","Plátanos otros",0.055315,0.10739,-0.052075,2019-01-01
1,2019,"ANTIOQUIA","Repollo",1.17999,1.369275,-0.189285,2019-01-01
1,2019,"ANTIOQUIA","Tomate Riogrande",0.007,0,0.007,2019-01-01
1,2019,"ANTIOQUIA","Tomate chonto",2.918633,2.815399,0.103234,2019-01-01
1,2019,"ANTIOQUIA","Tomate larga vida",0.002345,0.005865,-0.00352,2019-01-01
1,2019,"ANTIOQUIA","Tomates otros",0.005061,0.102846,-0.097785,2019-01-01
1,2019,"ANTIOQUIA","Yuca",1.242644,1.276564,-0.03392,2019-01-01
1,2019,"ANTIOQUIA","Zanahoria",2.46419,2.452493,0.0116969999999998,2019-01-01
1,2021,"ANTIOQUIA","Arroz",0.2996,3.8724,-3.5728,2021-01-01
1,2021,"ANTIOQUIA","Carne de cerdo",0.185965,0.124795,0.06117,2021-01-01
1,2021,"ANTIOQUIA","Carne de res",0.38469,0.35964,0.02505,2021-01-01
1,2021,"ANTIOQUIA","Cebolla Cabezona",0.275979,2.724442,-2.448463,2021-01-01
1,2021,"ANTIOQUIA","Cebolla junca",0.477265,0.64574,-0.168475,2021-01-01
1,2021,"ANTIOQUIA","Cilantro",0.194525,0.19479,-0.000264999999999987,2021-01-01
1,2021,"ANTIOQUIA","Fríjol",0.1142,0.36696,-0.25276,2021-01-01
1,2021,"ANTIOQUIA","Fríjol verde",0.904614,0.897309,0.00730500000000001,2021-01-01
1,2021,"ANTIOQUIA","Huevo",0.45125028,0.49768368,-0.0464334,2021-01-01
1,2021,"ANTIOQUIA","Lechuga Batavia",1.006309,0.954166,0.0521429999999999,2021-01-01
1,2021,"ANTIOQUIA","Limón Tahití",0.184031,0.828756,-0.644725,2021-01-01
1,2021,"ANTIOQUIA","Limón común",0.07729,0.32246,-0.24517,2021-01-01
1,2021,"ANTIOQUIA","Limón mandarino",0.20348,0.24826,-0.04478,2021-01-01
1,2021,"ANTIOQUIA","Papa R-12",0.0245,0.1525,-0.128,2021-01-01
1,2021,"ANTIOQUIA","Papa capira",5.25372,8.64707,-3.39335,2021-01-01
1,2021,"ANTIOQUIA","Papa criolla",1.327397,1.539292,-0.211895,2021-01-01
1,2021,"ANTIOQUIA","Papa nevada",0.52514,0.383,0.14214,2021-01-01
1,2021,"ANTIOQUIA","Papa superior",0.0015,0,0.0015,2021-01-01
1,2021,"ANTIOQUIA","Papa única",0.0312,0.00075,0.03045,2021-01-01
1,2021,"ANTIOQUIA","Papas negras otras",0.4416,0.153,0.2886,2021-01-01
1,2021,"ANTIOQUIA","Plátano guineo",0.22865,0.43423,-0.20558,2021-01-01
1,2021,"ANTIOQUIA","Plátano hartón verde",3.27004,5.39457,-2.12453,2021-01-01
1,2021,"ANTIOQUIA","Plátanos otros",0.06754,0.24695,-0.17941,2021-01-01
1,2021,"ANTIOQUIA","Repollo",1.09959,1.15113,-0.0515400000000001,2021-01-01
1,2021,"ANTIOQUIA","Tomate chonto",3.181243,2.883628,0.297615,2021-01-01
1,2021,"ANTIOQUIA","Tomate larga vida",0.0025,0.043,-0.0405,2021-01-01
1,2021,"ANTIOQUIA","Tomates otros",0.003055,0.021015,-0.01796,2021-01-01
1,2021,"ANTIOQUIA","Yuca",1.231161,1.397962,-0.166801,2021-01-01
1,2021,"ANTIOQUIA","Zanahoria",2.553455,2.13597,0.417485,2021-01-01
1,2022,"ANTIOQUIA","Arroz",0.12182,6.40515,-6.28333,2022-01-01
1,2022,"ANTIOQUIA","Carne de cerdo",0.30155,0.23495,0.0666,2022-01-01
1,2022,"ANTIOQUIA","Carne de res",0.41785,0.39435,0.0235,2022-01-01
1,2022,"ANTIOQUIA","Cebolla Cabezona",0.300814,2.528,-2.227186,2022-01-01
1,2022,"ANTIOQUIA","Cebolla junca",0.555064,0.80749,-0.252426,2022-01-01
1,2022,"ANTIOQUIA","Cilantro",0.276861,0.271415,0.00544600000000001,2022-01-01
1,2022,"ANTIOQUIA","Fríjol",0.10505,0.3626,-0.25755,2022-01-01
1,2022,"ANTIOQUIA","Fríjol verde",0.299575,0.29193,0.00764499999999996,2022-01-01
1,2022,"ANTIOQUIA","Huevo",0.3377406,0.4452798,-0.1075392,2022-01-01
1,2022,"ANTIOQUIA","Lechuga Batavia",1.170227,1.186477,-0.0162500000000001,2022-01-01
1,2022,"ANTIOQUIA","Limón Tahití",0.22143,0.7159,-0.49447,2022-01-01
1,2022,"ANTIOQUIA","Limón común",0.16785,0.20235,-0.0345,2022-01-01
1,2022,"ANTIOQUIA","Limón mandarino",0.23737,0.285045,-0.047675,2022-01-01
1,2022,"ANTIOQUIA","Papa R-12",0.0334,0.146,-0.1126,2022-01-01
1,2022,"ANTIOQUIA","Papa capira",2.834208,6.073708,-3.2395,2022-01-01
1,2022,"ANTIOQUIA","Papa criolla",1.176035,1.176375,-0.000340000000000007,2022-01-01
1,2022,"ANTIOQUIA","Papa nevada",0.3499,0.2884,0.0615,2022-01-01
1,2022,"ANTIOQUIA","Papa rubí",0.0025,0,0.0025,2022-01-01
1,2022,"ANTIOQUIA","Papa superior",0.001,0,0.001,2022-01-01
1,2022,"ANTIOQUIA","Papas negras otras",0.2114,0.0025,0.2089,2022-01-01
1,2022,"ANTIOQUIA","Plátano guineo",0.33767,0.57915,-0.24148,2022-01-01
1,2022,"ANTIOQUIA","Plátano hartón verde",3.360526,3.929646,-0.56912,2022-01-01
1,2022,"ANTIOQUIA","Plátanos otros",0.13886,0.3038,-0.16494,2022-01-01
1,2022,"ANTIOQUIA","Repollo",1.21718,1.26099,-0.0438100000000001,2022-01-01
1,2022,"ANTIOQUIA","Tomate Riogrande",0.008,0,0.008,2022-01-01
1,2022,"ANTIOQUIA","Tomate chonto",2.901932,2.627032,0.2749,2022-01-01
1,2022,"ANTIOQUIA","Tomates otros",0.007447,0.029312,-0.021865,2022-01-01
1,2022,"ANTIOQUIA","Yuca",1.107711,1.18699,-0.0792789999999999,2022-01-01
1,2022,"ANTIOQUIA","Zanahoria",3.081739,2.673509,0.40823,2022-01-01
1,2023,"ANTIOQUIA","Arroz",0.0216,2.8174,-2.7958,2023-01-01
1,2023,"ANTIOQUIA","Carne de cerdo",0.2978,0.1369,0.1609,2023-01-01
1,2023,"ANTIOQUIA","Carne de res",0.49174,0.38707,0.10467,2023-01-01
1,2023,"ANTIOQUIA","Cebolla cabezona blanca",0.18201,1.5688,-1.38679,2023-01-01
1,2023,"ANTIOQUIA","Cebolla cabezona roja",0.184099,0.8366,-0.652501,2023-01-01
1,2023,"ANTIOQUIA","Cebolla junca",0.393487,0.667561,-0.274074,2023-01-01
1,2023,"ANTIOQUIA","Cilantro",0.275432,0.273352,0.00208000000000003,2023-01-01
1,2023,"ANTIOQUIA","Fríjol",0.10479,0.33004,-0.22525,2023-01-01
1,2023,"ANTIOQUIA","Fríjol verde",0.712926,0.750796,-0.03787,2023-01-01
1,2023,"ANTIOQUIA","Huevo",0.20780742,0.30270642,-0.094899,2023-01-01
1,2023,"ANTIOQUIA","Lechuga Batavia",1.237033,1.175648,0.061385,2023-01-01
1,2023,"ANTIOQUIA","Lechuga crespa",0.124225,0.125525,-0.0013,2023-01-01
1,2023,"ANTIOQUIA","Lechugas otras",0.007,0.00845,-0.00145,2023-01-01
1,2023,"ANTIOQUIA","Limón Tahití",0.245625,0.7205,-0.474875,2023-01-01
1,2023,"ANTIOQUIA","Limón común",0.14023,0.2033,-0.06307,2023-01-01
1,2023,"ANTIOQUIA","Limón mandarino",0.224893,0.280213,-0.05532,2023-01-01
1,2023,"ANTIOQUIA","Papa R-12",0.04825,0.1111,-0.06285,2023-01-01
1,2023,"ANTIOQUIA","Papa capira",4.552925,9.262625,-4.7097,2023-01-01
